"","koi_disposition","koi_period","koi_period_err1","koi_period_err2","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_teq","koi_insol","koi_insol_err1","koi_insol_err2","koi_model_snr","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_srad","koi_srad_err1","koi_srad_err2","ra","dec","koi_kepmag"
"4482","CONFIRMED",71.05457555,5.192e-05,-5.192e-05,134.734589,0.000554,-0.000554,0.061,0.283,-0.061,1.9162,0.0246,-0.0246,4853.2,60.6,-60.6,5.91,1.22,-0.81,390,5.45,3.49,-1.86,95.9,5290,159,-159,4.46,0.116,-0.231,0.865,0.179,-0.119,298.96829,40.797352,14.71
"4483","CONFIRMED",20.5512722,0.0001597,-0.0001597,141.087,0.00573,-0.00573,0.946,0.005,-0.676,4.639,0.134,-0.134,191.2,11.2,-11.2,1.64,0.18,-0.13,607,32.01,10.6,-6.79,20,5401,108,-97,4.464,0.075,-0.082,0.918,0.1,-0.073,288.80457,50.99062,13.55
"4484","FALSE POSITIVE",7.5861587,0.0001204,-0.0001204,132.7988,0.0127,-0.0127,0.858,0.044,-0.585,4.32,0.368,-0.368,116.8,12.7,-12.7,1.07,0.24,-0.17,928,175.29,118.02,-64.3,10.8,5934,178,-160,4.444,0.135,-0.165,0.871,0.191,-0.139,299.34955,43.8503,14.84
"4486","FALSE POSITIVE",0.772152075,3.071e-06,-3.071e-06,132.2074,0.00327,-0.00327,1.009,0.052,-0.779,1.78,0.135,-0.135,43.6,3.6,-3.6,4.44,1.45,-2.68,2966,18277.6,18302.22,-15751.32,13.6,5951,197,-179,3.787,0.667,-0.178,2.08,0.677,-1.258,299.46524,40.89109,13.308
"4489","FALSE POSITIVE",3.19938075,2.601e-05,-2.601e-05,133.01116,0.00607,-0.00607,0.268,0.176,-0.268,1.761,0.197,-0.197,76.1,9.3,-9.3,0.62,0.1,-0.04,1026,262.08,137.02,-56.8,9.8,5483,163,-147,4.632,0.032,-0.104,0.702,0.115,-0.046,287.81729,38.194809,14.261
"4490","FALSE POSITIVE",3.04185157,1.869e-05,-1.869e-05,132.50422,0.00472,-0.00472,0.176,0.287,-0.176,1.434,0.175,-0.175,69,7.6,-7.6,0.71,0.21,-0.07,1184,465.54,401.33,-125.91,11.1,5802,156,-156,4.537,0.048,-0.192,0.857,0.252,-0.084,294.33328,42.26413,14.147
"4493","FALSE POSITIVE",1.89873195,1.107e-05,-1.107e-05,132.09278,0.00446,-0.00446,0.197,0.257,-0.197,1.382,0.153,-0.153,78,9.5,-9.5,0.93,0.29,-0.1,1524,1279.95,1233.6,-405.22,10.2,5942,187,-229,4.439,0.067,-0.216,1.05,0.333,-0.111,284.94226,48.666512,14.457
"4496","CONFIRMED",7.13044117,7.436e-05,-7.436e-05,135.594,0.0068,-0.0068,0.068,0.37,-0.068,2.566,0.226,-0.226,31.9,3.7,-3.7,1.18,0.23,-0.28,1400,908.79,484.83,-422.55,10.5,6312,114,-127,3.964,0.195,-0.105,2.074,0.404,-0.494,295.43915,43.676311,12.31
"4500","FALSE POSITIVE",18.0939004,0.0002288,-0.0002288,139.01706,0.0099,-0.0099,0.445,0.026,-0.445,3.294,0.333,-0.333,467.3,48,-48,1.91,0.48,-0.16,665,46.21,33.38,-11.92,11.6,5904,142,-178,4.543,0.044,-0.176,0.867,0.218,-0.073,286.50211,50.246189,15.739
"4501","FALSE POSITIVE",34.9524256,0.0001243,-0.0001243,163.52048,0.00298,-0.00298,1.225,70.24,-3.321,1.717,0.162,-0.162,677,53,-53,21.74,1.81,-1.51,429,8.02,2.67,-1.86,15.8,4921,159,-145,4.591,0.024,-0.064,0.779,0.065,-0.054,283.04764,46.265331,14.767
"4510","FALSE POSITIVE",17.7412303,0.0003966,-0.0003966,144.3554,0.0136,-0.0136,0.065,0.392,-0.065,4.816,0.566,-0.566,144.7,18.6,-18.6,1.14,0.35,-0.11,684,51.69,44.67,-15.09,9.2,5817,139,-191,4.491,0.052,-0.208,0.956,0.289,-0.096,294.47876,38.883659,14.641
"4511","CONFIRMED",2.63527677,2.09e-05,-2.09e-05,133.97919,0.00527,-0.00527,0.646,0.015,-0.5,1.997,0.2,-0.2,70.4,7.9,-7.9,0.76,0.05,-0.06,1136,394.32,83.99,-77.27,10.7,5215,83,-83,4.496,0.066,-0.05,0.864,0.058,-0.064,289.80804,44.362518,14.342
"4512","CONFIRMED",147.388124,0.002736,-0.002736,174.6537,0.0166,-0.0166,0.005,0.44,-0.005,8.781,0.381,-0.381,909.2,67.4,-67.4,3.03,1,-0.34,356,3.78,3.81,-1.22,15.8,6046,190,-232,4.478,0.04,-0.229,1.007,0.334,-0.111,296.52145,46.540539,15.817
"4513","FALSE POSITIVE",4.11497357,4.457e-05,-4.457e-05,135.318,0.0107,-0.0107,0.396,0.056,-0.396,3.025,0.19,-0.19,154.1,17.3,-17.3,1.17,0.39,-0.12,1137,395.27,402.64,-124.37,9.7,6011,189,-231,4.507,0.04,-0.229,0.927,0.311,-0.097,293.17578,38.042019,15.392
"4531","FALSE POSITIVE",7.5019743,0.0001136,-0.0001136,135.0995,0.0114,-0.0114,0.442,0.036,-0.442,2.582,0.427,-0.427,248,31.1,-31.1,1.19,0.08,-0.12,709,59.73,16.39,-16.11,9.1,4807,143,-129,4.546,0.066,-0.039,0.758,0.049,-0.074,283.06223,42.629002,15.562
"4533","FALSE POSITIVE",29.1206519,0.0003795,-0.0003795,138.4718,0.011,-0.011,0.195,0.26,-0.195,2.89,0.286,-0.286,415.5,51,-51,1.6,0.38,-0.14,528,18.43,12.61,-4.99,9.7,5671,152,-169,4.582,0.038,-0.152,0.788,0.182,-0.073,285.09976,41.874378,15.536
"4536","CONFIRMED",6.91261536,5.175e-05,-5.175e-05,132.15638,0.00703,-0.00703,0.656,0.285,-0.446,2.359,0.217,-0.217,34.4,3.4,-3.4,0.64,0.1,-0.07,981,218.66,97.13,-61.34,12,5761,115,-115,4.383,0.105,-0.116,1.044,0.162,-0.122,290.46509,48.332249,12.419
"4537","FALSE POSITIVE",25.8616058,0.0008569,-0.0008569,140.2048,0.0288,-0.0288,0.855,0.122,-0.606,7.78,1,-1,123,19.7,-19.7,1.12,0.32,-0.11,613,33.37,28.82,-9.66,8.5,6067,164,-201,4.524,0.052,-0.208,0.884,0.26,-0.087,289.44324,40.253529,15.183
"4540","FALSE POSITIVE",13.8353959,0.0002748,-0.0002748,134.3082,0.0162,-0.0162,0.94,0.024,-0.727,4.961,0.356,-0.356,818,90.4,-90.4,3.78,1.22,-0.52,809,101.05,101.83,-35.97,10.3,6020,211,-211,4.403,0.087,-0.203,1.057,0.341,-0.146,301.27869,44.25053,15.842
"4541","CONFIRMED",18.9060921,0.0002361,-0.0002361,140.82932,0.00989,-0.00989,0.004,0.446,-0.004,4.125,0.315,-0.315,375.6,36.5,-36.5,0.87,0.16,-0.21,336,3.03,2.29,-1.67,11.9,3751,219,-219,4.813,0.104,-0.085,0.45,0.082,-0.11,287.05453,45.18037,15.931
"4542","FALSE POSITIVE",25.6970688,0.0007033,-0.0007033,144.2286,0.0238,-0.0238,0.943,0.026,-0.724,3.739,0.472,-0.472,835,151,-151,3.83,1.24,-0.53,658,44.24,44.57,-15.75,6.4,6020,211,-211,4.403,0.087,-0.203,1.057,0.341,-0.146,301.27869,44.25053,15.842
"4544","CONFIRMED",19.5906103,0.0001318,-0.0001318,144.65969,0.00581,-0.00581,0.529,0.012,-0.475,6.745,0.151,-0.151,297,12.3,-12.3,2.64,0.44,-0.53,819,106.48,45.65,-41.91,24.9,5794,78,-78,4.118,0.182,-0.098,1.496,0.245,-0.299,293.51984,41.277409,15.024
"4549","CONFIRMED",2.131660527,9.485e-06,-9.485e-06,133.13431,0.00339,-0.00339,0.036,0.421,-0.036,1.8585,0.0993,-0.0993,32.2,2.4,-2.4,0.56,0.08,-0.05,1438,1010.45,408.09,-247.61,15.7,5849,105,-117,4.426,0.076,-0.114,0.997,0.143,-0.095,296.67984,47.173313,11.893
"4550","FALSE POSITIVE",5.75902182,4.978e-05,-4.978e-05,132.16301,0.0066,-0.0066,0.329,0.124,-0.329,2.687,0.216,-0.216,70.8,8.3,-8.3,0.91,0.28,-0.12,1112,362.12,326.5,-121.82,9.9,6247,152,-217,4.433,0.054,-0.216,1.066,0.335,-0.134,295.57159,49.607479,14.199
"4565","CONFIRMED",14.3196417,0.000144,-0.000144,134.16323,0.00931,-0.00931,0.533,0.012,-0.454,3.781,0.262,-0.262,215.5,20.6,-20.6,2.06,0.33,-0.44,850,123.37,51.96,-51.6,12.5,5562,83,-75,4.151,0.195,-0.105,1.373,0.216,-0.297,293.73444,40.307201,15.076
"4566","FALSE POSITIVE",5.2736268,0.0001581,-0.0001581,135.6461,0.0216,-0.0216,0.595,0.012,-0.495,5.291,0.511,-0.511,86.1,12.1,-12.1,0.89,0.27,-0.1,1014,249.68,230.17,-74.5,8.7,5851,157,-192,4.515,0.039,-0.221,0.918,0.289,-0.096,296.12253,41.561138,15.374
"4567","FALSE POSITIVE",24.5041103,0.000659,-0.000659,140.1805,0.0196,-0.0196,0.178,0.295,-0.178,6.065,0.432,-0.432,119.5,12.3,-12.3,1.03,0.19,-0.12,574,25.59,13.03,-6.77,11.3,5250,86,-78,4.404,0.098,-0.14,0.962,0.182,-0.112,290.09427,41.742779,14.375
"4570","FALSE POSITIVE",9.97202023,8.645e-05,-8.645e-05,137.71181,0.0077,-0.0077,0.401,0.068,-0.401,1.425,0.328,-0.328,329.7,63.1,-63.1,1.26,0.11,-0.12,627,36.53,13.12,-10.68,8.6,4810,173,-173,4.584,0.06,-0.035,0.696,0.06,-0.066,297.34842,43.421219,15.693
"4577","FALSE POSITIVE",40.3511707,0.0004021,-0.0004021,153.40933,0.00825,-0.00825,0.079,0.379,-0.079,3.97,0.301,-0.301,533.5,55,-55,1.88,0.38,-0.17,479,12.46,7.57,-3.25,11.3,5665,152,-169,4.568,0.036,-0.135,0.82,0.166,-0.071,291.93756,39.419941,15.676
"4578","FALSE POSITIVE",72.9332762,0.0008081,-0.0008081,198.11468,0.00911,-0.00911,0.106,0.351,-0.106,3.829,0.313,-0.313,770.4,79.4,-79.4,2.45,0.22,-0.18,389,5.44,1.44,-1.03,11.3,5316,85,-74,4.47,0.07,-0.07,0.902,0.081,-0.066,291.56476,38.074589,15.679
"4581","FALSE POSITIVE",12.6878176,0.0002194,-0.0002194,136.1525,0.0133,-0.0133,0.921,0.038,-0.627,4.262,0.347,-0.347,293,26.6,-26.6,2.16,0.69,-0.28,851,123.89,120.42,-44.46,13.5,6258,196,-261,4.442,0.067,-0.202,1.046,0.335,-0.134,293.94241,42.4259,15.813
"4582","FALSE POSITIVE",483.36405,0.04975,-0.04975,483.0784,0.0593,-0.0593,0.614,0.049,-0.468,15.61,2,-2,285.4,40.9,-40.9,1.27,0.25,-0.1,202,0.39,0.24,-0.09,8.3,5700,171,-153,4.626,0.032,-0.128,0.718,0.143,-0.054,291.37067,40.216061,14.861
"4587","CONFIRMED",12.0729757,0.0001925,-0.0001925,142.429,0.0116,-0.0116,0.312,0.135,-0.312,3.783,0.418,-0.418,99.5,13.3,-13.3,1.69,0.28,-0.43,969,208.13,94.93,-97.12,9.7,5436,89,-65,3.993,0.217,-0.093,1.707,0.287,-0.43,281.55267,44.228531,14.216
"4590","FALSE POSITIVE",82.401274,0.001857,-0.001857,140.6557,0.029,-0.029,0.703,0.259,-0.495,6.48,0.984,-0.984,430.7,61.4,-61.4,2.21,0.37,-0.12,421,7.42,3.11,-1.18,10.1,5886,70,-88,4.472,0.03,-0.127,1,0.164,-0.055,296.82895,48.173279,15.202
"4591","CONFIRMED",11.91256675,8.508e-05,-8.508e-05,143.15988,0.00554,-0.00554,0.174,0.263,-0.174,6.126,0.153,-0.153,123.1,4.8,-4.8,2.61,0.56,-0.85,1242,562.27,308.91,-317.89,27.8,6337,76,-82,3.893,0.253,-0.136,2.335,0.503,-0.755,285.92322,42.54985,11.915
"4592","FALSE POSITIVE",4.08197713,4.792e-05,-4.792e-05,132.10953,0.00971,-0.00971,0.328,0.128,-0.328,2.943,0.305,-0.305,26.2,3.4,-3.4,0.6,0.13,-0.08,1372,836.88,498.99,-287.95,9.3,6538,147,-196,4.339,0.092,-0.138,1.156,0.241,-0.161,288.52902,42.27626,13.05
"4596","FALSE POSITIVE",0.912179022,5.638e-06,-5.638e-06,131.81174,0.00482,-0.00482,0.038,0.424,-0.038,1.332,0.171,-0.171,144.6,18.9,-18.9,0.65,0.04,-0.04,1025,260.05,53.17,-51.06,10.3,3880,69,-92,4.722,0.023,-0.035,0.555,0.033,-0.033,290.78214,38.18779,15.783
"4599","CONFIRMED",76.87935893,4.834e-05,-4.834e-05,146.882451,0.000505,-0.000505,0.864,0.076,-0.045,2.3819,0.0429,-0.0429,21272,253,-253,7.71,0.8,-0.86,202,0.4,0.12,-0.11,131,3638,72,-79,4.828,0.041,-0.054,0.436,0.045,-0.049,285.09586,50.10096,15.949
"4601","FALSE POSITIVE",13.0151826,0.0001395,-0.0001395,134.74697,0.00749,-0.00749,0.852,0.12,-0.61,3.613,0.274,-0.274,331.6,32.4,-32.4,1.36,0.12,-0.12,556,22.6,7.55,-5.99,11.9,4794,144,-144,4.622,0.059,-0.032,0.643,0.057,-0.057,293.25903,45.837448,15.961
"4605","FALSE POSITIVE",7.28116667,7.789e-05,-7.789e-05,132.7518,0.0102,-0.0102,0.1,0.358,-0.1,2.716,0.243,-0.243,333.8,33.8,-33.8,1.4,0.14,-0.12,744,72.16,30.08,-19.72,11.5,5008,192,-174,4.572,0.033,-0.066,0.788,0.082,-0.067,291.50812,45.370159,15.993
"4607","CONFIRMED",2.87998334,2.427e-05,-2.427e-05,131.48485,0.00568,-0.00568,0.22,0.243,-0.22,1.658,0.243,-0.243,116.5,14.6,-14.6,0.85,0.03,-0.05,1024,260.79,40.02,-46.57,9.9,4951,81,-81,4.523,0.063,-0.027,0.806,0.032,-0.051,284.76093,49.141979,14.712
"4610","FALSE POSITIVE",21.08678557,8.39e-05,-8.39e-05,135.5636,0.00278,-0.00278,0.702,0.253,-0.478,0.978,0.108,-0.108,499.6,58.9,-58.9,2.08,0.52,-0.17,651,42.44,31.53,-11.29,11,6084,165,-202,4.542,0.044,-0.176,0.863,0.217,-0.072,296.09842,47.992699,15.185
"4615","FALSE POSITIVE",5.19206571,6.167e-05,-6.167e-05,134.5614,0.0116,-0.0116,0.847,0.133,-0.582,3.716,0.229,-0.229,66.6,7.5,-7.5,0.99,0.31,-0.12,1170,442.55,396.77,-144.95,10.5,6322,156,-203,4.426,0.065,-0.195,1.075,0.335,-0.134,288.97183,46.265202,14.423
"4620","CONFIRMED",17.4532945,0.0001511,-0.0001511,146.66244,0.0073,-0.0073,0.357,0.093,-0.357,4.027,0.207,-0.207,79.3,7,-7,0.76,0.08,-0.06,639,39.42,12.6,-8.53,12,5528,110,-110,4.499,0.063,-0.077,0.853,0.089,-0.067,283.00296,44.284229,13.404
"4621","CONFIRMED",14.1959621,0.00012,-0.00012,137.01221,0.00649,-0.00649,0.786,0.177,-0.563,3.605,0.208,-0.208,196.2,16.5,-16.5,1.66,0.54,-0.18,818,105.7,104.07,-33.36,14.1,6214,186,-224,4.442,0.054,-0.216,1.076,0.353,-0.118,290.21667,44.779678,14.706
"4622","FALSE POSITIVE",11.52482874,4.486e-05,-4.486e-05,134.08163,0.00323,-0.00323,1.205,72.7,-8.211,1.724,0.183,-0.183,577.6,46.7,-46.7,22.56,5.38,-2.91,756,77.15,56.23,-24.72,16.2,5592,169,-152,4.472,0.091,-0.169,0.892,0.213,-0.115,296.40448,44.367458,15.595
"4624","FALSE POSITIVE",6.70242786,4.336e-05,-4.336e-05,133.17733,0.00566,-0.00566,0.369,0.094,-0.368,1.221,0.228,-0.228,65.3,8.9,-8.9,1.82,0.58,-0.38,1367,827.56,780.25,-369.44,8.8,5466,163,-163,3.735,0.175,-0.175,2.224,0.699,-0.466,283.69885,39.936642,12.954
"4626","FALSE POSITIVE",7.79534033,8.442e-05,-8.442e-05,138.03216,0.00798,-0.00798,0.282,0.166,-0.281,3.406,0.304,-0.304,102.1,11.9,-11.9,1.07,0.35,-0.12,985,222.52,213.24,-69.03,10.2,6156,171,-214,4.443,0.054,-0.216,1.05,0.341,-0.114,286.21729,42.86092,14.726
"4630","CONFIRMED",2.40174996,1.34e-05,-1.34e-05,131.7811,0.00466,-0.00466,0.47,0.002,-0.47,1.413,0.17,-0.17,254.4,24.2,-24.2,0.65,0.08,-0.11,621,35.1,14.12,-12.87,13.2,3606,81,-90,4.855,0.065,-0.052,0.399,0.053,-0.065,297.2905,45.955029,15.737
"4632","FALSE POSITIVE",115.238544,0.002522,-0.002522,155.5989,0.0179,-0.0179,0.965,0,-0.684,7.653,0.527,-0.527,516.7,56.8,-56.8,3.17,0.47,-0.35,372,4.52,1.75,-1.13,10.6,5589,75,-75,4.384,0.099,-0.11,1.037,0.152,-0.114,293.65369,39.31641,15.259
"4633","FALSE POSITIVE",21.7434141,0.0006547,-0.0006547,148.935,0.0198,-0.0198,0.906,0.059,-0.67,8.143,0.652,-0.652,154.8,11.4,-11.4,2.23,0.55,-0.82,799,96.15,73.55,-62.16,15.8,5767,190,-173,4.082,0.357,-0.153,1.497,0.367,-0.551,288.85754,45.097691,13.816
"4637","FALSE POSITIVE",5.6795377,0.0001039,-0.0001039,132.95,0.0154,-0.0154,0.196,0.254,-0.196,3.757,0.326,-0.326,52,4.5,-4.5,1.16,0.33,-0.37,1420,961.1,818.95,-572.46,12.5,6514,181,-227,4.09,0.258,-0.172,1.585,0.457,-0.503,290.55087,43.994362,12.892
"4641","FALSE POSITIVE",9.33955596,6.351e-05,-6.351e-05,138.11016,0.00587,-0.00587,0.985,0.02,-0.705,2.058,0.22,-0.22,245.1,29.3,-29.3,2.67,0.78,-0.58,882,143.02,124.84,-64.51,10.1,5516,166,-150,4.308,0.214,-0.195,1.101,0.319,-0.239,283.45764,46.819538,15.03
"4643","CONFIRMED",19.5489666,0.0001396,-0.0001396,149.78882,0.00432,-0.00432,0.83,0.001,-0.585,1.78,0.181,-0.181,523.8,49.7,-49.7,1.89,0.35,-0.15,579,26.62,15.5,-6.65,12.6,5549,163,-163,4.6,0.045,-0.113,0.732,0.137,-0.059,292.95819,42.854889,15.717
"4644","CONFIRMED",7.41834569,6.474e-05,-6.474e-05,133.51738,0.00742,-0.00742,0.049,0.413,-0.049,2.462,0.215,-0.215,234,24.1,-24.1,1.12,0.21,-0.09,800,96.9,56.43,-24.2,11.2,5549,163,-163,4.6,0.045,-0.113,0.732,0.137,-0.059,292.95819,42.854889,15.717
"4650","FALSE POSITIVE",92.461135,0.001057,-0.001057,211.1951,0.0121,-0.0121,0.083,0.358,-0.083,14.344,0.293,-0.293,122.4,6.4,-6.4,2.86,0.55,-0.55,564,23.91,11.96,-9.32,20.7,5132,69,-84,3.675,0.12,-0.132,2.648,0.51,-0.51,291.5072,39.323662,11.784
"4651","FALSE POSITIVE",49.5387264,0.0003804,-0.0003804,132.50072,0.00682,-0.00682,1.223,6.795,-0.089,2.238,0.305,-0.305,740.6,89.7,-89.7,20.52,4.61,-1.54,436,8.52,5.9,-1.99,10.3,5683,173,-155,4.605,0.036,-0.144,0.747,0.168,-0.056,298.68402,41.83149,14.94
"4652","FALSE POSITIVE",3.39155966,5.767e-05,-5.767e-05,134.1211,0.0126,-0.0126,0.182,0.279,-0.182,3.87,0.386,-0.386,28.4,4.3,-4.3,0.49,0.14,-0.05,1183,462.47,406.6,-130.31,8.2,5896,159,-176,4.516,0.052,-0.208,0.914,0.274,-0.091,293.17435,40.950809,13.773
"4653","FALSE POSITIVE",9.2294726,0.0001382,-0.0001382,136.173,0.0127,-0.0127,0.076,0.454,-0.076,2.446,0.864,-0.864,199.3,72.7,-72.7,0.82,0.08,-0.06,601,30.83,11.79,-7.91,7.5,4781,168,-168,4.679,0.036,-0.045,0.596,0.058,-0.044,293.24039,39.949444,13.78
"4655","FALSE POSITIVE",18.3721835,0.000266,-0.000266,149.4627,0.0143,-0.0143,0.78,0.181,-0.557,3.738,0.475,-0.475,152.5,20.5,-20.5,1.12,0.32,-0.08,657,43.96,35.74,-10.52,9.5,5937,159,-177,4.558,0.034,-0.195,0.83,0.23,-0.061,293.54733,42.828442,14.965
"4661","FALSE POSITIVE",63.095068,0.002258,-0.002258,158.1168,0.0266,-0.0266,1.05,6.957,-0.203,9.485,0.92,-0.92,496.8,52.4,-52.4,11.67,3.53,-1.52,573,25.4,22.02,-9.17,11.4,6622,160,-275,4.331,0.065,-0.195,1.325,0.401,-0.172,291.72189,42.117298,15.765
"4665","CONFIRMED",21.7203362,0.0003087,-0.0003087,134.7659,0.0129,-0.0129,0.311,0.15,-0.311,4.252,0.37,-0.37,87.8,8.1,-8.1,0.8,0.08,-0.07,594,29.45,9.41,-6.38,12,5528,110,-110,4.499,0.063,-0.077,0.853,0.089,-0.067,283.00296,44.284229,13.404
"4671","CONFIRMED",6.64754478,4.141e-05,-4.141e-05,137.13371,0.00517,-0.00517,0.235,0.213,-0.235,1.961,0.143,-0.143,289.3,28.1,-28.1,1.72,0.54,-0.18,999,235.89,226.31,-72.06,12.4,6046,190,-211,4.478,0.054,-0.216,1.007,0.318,-0.106,294.78433,49.4921,15.724
"4673","FALSE POSITIVE",1.97650073,1.096e-05,-1.096e-05,132.95624,0.00456,-0.00456,0.055,0.386,-0.055,1.788,0.136,-0.136,112.5,12.8,-12.8,0.97,0.31,-0.1,1394,892.9,819.47,-270.97,10.4,5792,161,-202,4.514,0.05,-0.2,0.923,0.287,-0.096,291.21164,41.9856,15.608
"4674","FALSE POSITIVE",3.79892774,9.915e-05,-9.915e-05,133.289,0.0213,-0.0213,0.13,0.325,-0.13,4.112,0.635,-0.635,47,7.1,-7.1,1.46,0.32,-0.39,1869,2888.6,1834.9,-1537.68,8.3,6831,163,-225,3.971,0.228,-0.123,2.106,0.463,-0.566,289.3483,46.05468,13.008
"4676","FALSE POSITIVE",14.7401061,0.0002296,-0.0002296,133.5305,0.0118,-0.0118,0.116,0.321,-0.116,5.637,0.383,-0.383,238,26.9,-26.9,1.48,0.41,-0.15,750,74.65,62.44,-21.67,10.3,5999,180,-198,4.494,0.048,-0.192,0.959,0.266,-0.095,298.38007,46.8894,15.479
"4680","FALSE POSITIVE",4.7309013,4.079e-05,-4.079e-05,135.19333,0.00672,-0.00672,0.362,0.084,-0.362,2.889,0.202,-0.202,228.5,22.6,-22.6,1.39,0.43,-0.14,1065,303.67,280.41,-89.58,11.6,5941,178,-196,4.519,0.037,-0.213,0.911,0.28,-0.093,297.48297,48.022499,15.68
"4681","CONFIRMED",21.3761817,0.0004724,-0.0004724,143.6293,0.0177,-0.0177,0.017,0.456,-0.017,8.543,0.518,-0.518,104,10.4,-10.4,1.08,0.31,-0.24,717,62.37,53.03,-28.14,12.1,5984,161,-161,4.322,0.195,-0.195,1.052,0.305,-0.229,285.70697,47.869968,14.143
"4682","FALSE POSITIVE",6.58753699,7.864e-05,-7.864e-05,138.0427,0.00854,-0.00854,0.132,0.327,-0.132,2.043,0.236,-0.236,232.1,34,-34,1.51,0.41,-0.14,992,228.36,185.62,-65.12,8.2,6014,181,-199,4.486,0.048,-0.192,0.993,0.267,-0.095,295.08194,50.344601,15.652
"4685","CONFIRMED",30.8278245,0.0003158,-0.0003158,143.1448,0.00784,-0.00784,0.023,0.426,-0.022,4.214,0.215,-0.215,641.3,52.1,-52.1,2.42,0.68,-0.27,585,27.66,23.77,-9.06,13.9,5982,189,-232,4.493,0.048,-0.192,0.96,0.27,-0.108,291.43143,38.654388,15.765
"4690","FALSE POSITIVE",36.721576,0.001305,-0.001305,151.2481,0.023,-0.023,0.097,0.355,-0.097,7.758,0.576,-0.576,538.2,63.2,-63.2,1.93,0.51,-0.16,498,14.51,11.83,-3.82,10.2,5662,186,-186,4.56,0.031,-0.178,0.84,0.221,-0.069,299.49188,40.472481,15.919
"4693","CONFIRMED",96.81647,0.0008937,-0.0008937,136.55813,0.00727,-0.00727,0.034,0.42,-0.034,10.227,0.19,-0.19,164.7,7.3,-7.3,3.19,0.38,-0.91,655,43.39,15.77,-22.77,25.9,6404,129,-116,3.793,0.218,-0.058,2.467,0.301,-0.703,292.89218,38.270512,11.816
"4696","FALSE POSITIVE",4.96504981,5.255e-05,-5.255e-05,135.55399,0.00807,-0.00807,0.655,0.313,-0.439,2.212,0.245,-0.245,50.7,7,-7,1.51,0.75,-0.92,1403,917.99,1633.44,-799.34,8.7,5339,291,-212,3.823,0.707,-0.303,2.011,1.004,-1.227,290.99005,49.233131,12.739
"4699","CONFIRMED",1.141148847,6.418e-06,-6.418e-06,132.24561,0.00434,-0.00434,0.062,0.399,-0.062,1.629,0.159,-0.159,73.1,7.1,-7.1,1.67,0.26,-0.48,2248,6008.73,2493.24,-3123.63,12.7,5438,81,-73,3.916,0.217,-0.093,1.989,0.308,-0.573,297.21347,47.775429,14.58
"4700","FALSE POSITIVE",12.460565,0.0002109,-0.0002109,139.2206,0.0145,-0.0145,0.015,0.45,-0.015,3.903,0.393,-0.393,143.9,16.9,-16.9,1.1,0.11,-0.09,726,65.72,19.76,-13.13,10.2,5435,81,-81,4.453,0.076,-0.085,0.933,0.1,-0.073,295.51495,51.203739,14.732
"4701","FALSE POSITIVE",19.5945772,0.000514,-0.000514,150.1394,0.0187,-0.0187,0.389,0.067,-0.389,6.77,0.565,-0.565,129.3,17.1,-17.1,1.18,0.37,-0.16,724,64.98,61.67,-22.65,8.8,6118,191,-212,4.416,0.087,-0.203,1.023,0.32,-0.137,290.90042,48.74614,15.451
"4710","FALSE POSITIVE",7.08757462,8.132e-05,-8.132e-05,138.27614,0.00932,-0.00932,0.371,0.076,-0.371,3.342,0.311,-0.311,187,19.7,-19.7,1.28,0.39,-0.12,955,197.02,176.6,-57.22,11,6060,181,-199,4.509,0.048,-0.192,0.925,0.276,-0.092,297.90527,47.33683,15.274
"4711","FALSE POSITIVE",5.4169303,0.0001099,-0.0001099,133.7916,0.0155,-0.0155,1.055,6.846,-0.046,7.512,0.845,-0.845,109.5,11.8,-11.8,8.17,2.72,-0.91,1173,447.24,438.83,-142.24,11.3,6355,173,-230,4.41,0.07,-0.21,1.108,0.37,-0.123,288.61057,40.92474,15.411
"4715","FALSE POSITIVE",31.1920226,0.0002638,-0.0002638,153.83296,0.0066,-0.0066,0.11,0.345,-0.11,2.849,0.21,-0.21,447.8,46.5,-46.5,1.65,0.35,-0.16,521,17.43,11.28,-4.83,11.6,5675,170,-170,4.554,0.06,-0.14,0.777,0.163,-0.075,299.46869,40.82999,15.401
"4717","FALSE POSITIVE",7.630545,0.001141,-0.001141,907.04471,0.00868,-0.00868,0.021,0.424,-0.021,3.63,0.27,-0.27,364.9,36.1,-36.1,2.26,0.79,-0.31,1087,330.02,338.45,-120.47,11.3,6407,179,-246,4.358,0.087,-0.203,1.179,0.409,-0.163,287.70197,51.229729,14.12
"4720","FALSE POSITIVE",6.6716723,5.474e-05,-5.474e-05,131.92708,0.00682,-0.00682,0.167,0.287,-0.167,2.693,0.255,-0.255,154.4,17.8,-17.8,1.27,0.43,-0.14,1024,259.72,258.68,-84.65,10.3,6086,168,-232,4.435,0.07,-0.21,1.021,0.345,-0.115,284.57806,41.890259,15.134
