"","koi_disposition","koi_period","koi_period_err1","koi_period_err2","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_teq","koi_insol","koi_insol_err1","koi_insol_err2","koi_model_snr","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_srad","koi_srad_err1","koi_srad_err2","ra","dec","koi_kepmag"
"1694","CONFIRMED",29.9685917,0.0001741,-0.0001741,147.8598,0.00413,-0.00413,0.282,0.141,-0.282,6.678,0.134,-0.134,309.5,12.2,-12.2,1.91,0.6,-0.2,644,40.76,37.46,-12.36,26.5,6249,174,-217,4.428,0.054,-0.202,1.076,0.335,-0.112,286.97128,44.708302,14.456
"1708","FALSE POSITIVE",12.2885046,0.0001092,-0.0001092,141.61869,0.00771,-0.00771,0.632,0.309,-0.406,2.807,0.232,-0.232,342.1,33.7,-33.7,3.22,1.5,-1.82,913,164.61,237.14,-136.91,12,5109,169,-138,3.96,0.616,-0.264,1.671,0.775,-0.947,301.34286,44.672211,14.414
"1718","CONFIRMED",10.27380957,5.929e-05,-5.929e-05,134.65748,0.00505,-0.00505,0.125,0.334,-0.125,3.252,0.141,-0.141,352.8,20.5,-20.5,1.68,0.16,-0.08,799,96.27,24.4,-14.49,19.2,5806,69,-87,4.528,0.023,-0.068,0.899,0.084,-0.045,292.42758,37.320808,14.909
"1721","CONFIRMED",8.2562857,3.697e-05,-3.697e-05,137.9267,0.00336,-0.00336,0.816,0.142,-0.561,2.0378,0.0976,-0.0976,37.3,2.3,-2.3,1.49,0.23,-0.39,1387,874.56,394,-432.96,18.2,6197,135,-111,3.837,0.233,-0.093,2.188,0.336,-0.576,285.1828,43.831078,10.421
"1726","CONFIRMED",13.36019864,5.956e-05,-5.956e-05,131.81481,0.00356,-0.00356,0.534,0.329,-0.354,2.788,0.113,-0.113,699.9,37.5,-37.5,1.84,0.13,-0.11,520,17.3,4.76,-3.74,21.3,4500,123,-137,4.638,0.018,-0.049,0.688,0.048,-0.04,286.47934,39.269958,15.637
"1728","CONFIRMED",14.97974335,6.325e-05,-6.325e-05,143.46174,0.00343,-0.00343,0.93,0.017,-0.683,4.126,0.171,-0.171,1211.8,39.3,-39.3,3.79,0.41,-0.45,620,34.95,14.91,-11.5,33.2,5062,194,-176,4.481,0.104,-0.095,0.853,0.092,-0.103,285.90848,38.212719,15.549
"1730","FALSE POSITIVE",33.35859852,8.671e-05,-8.671e-05,137.57061,0.00238,-0.00238,0.937,0.056,-0.724,2.286,0.151,-0.151,1825.9,63.3,-63.3,4.44,0.48,-0.47,459,10.46,4.28,-3.24,32.2,5009,176,-176,4.515,0.08,-0.08,0.799,0.086,-0.086,298.07474,40.94899,15.253
"1731","CONFIRMED",8.84784273,3.369e-05,-3.369e-05,140.15085,0.00286,-0.00286,0.047,0.411,-0.047,2.0572,0.0995,-0.0995,460.2,25.8,-25.8,1.15,0.07,-0.07,479,12.48,2.69,-2.38,21.1,3867,77,-84,4.718,0.027,-0.033,0.552,0.033,-0.033,285.08655,40.898998,14.911
"1737","CONFIRMED",56.4931698,0.0003626,-0.0003626,143.99262,0.00583,-0.00583,0.707,0.227,-0.473,8.704,0.176,-0.176,411.9,14.9,-14.9,4.43,0.77,-1.14,681,50.79,24.72,-24.97,31.8,6160,123,-123,3.976,0.18,-0.105,2.046,0.352,-0.527,295.1391,40.979061,13.524
"1740","CONFIRMED",5.78387049,1.538e-05,-1.538e-05,135.5798,0.00196,-0.00196,0.227,0.221,-0.227,1.3966,0.0681,-0.0681,413.3,23.7,-23.7,2.07,0.62,-0.21,1051,288.69,258.79,-86.48,20.7,6063,181,-217,4.476,0.048,-0.192,1.012,0.302,-0.101,295.30255,49.589119,15.049
"1743","CONFIRMED",8.77425786,2.931e-05,-2.931e-05,132.33386,0.00296,-0.00296,0.917,0.025,-0.693,2.2245,0.076,-0.076,239.6,12.6,-12.6,1.75,0.53,-0.22,771,83.63,76.88,-25.89,22.3,5146,154,-138,4.445,0.1,-0.3,0.905,0.277,-0.111,297.07465,39.933849,13.714
"1746","CONFIRMED",29.4557841,0.0001187,-0.0001187,154.17062,0.00291,-0.00291,0.018,0.426,-0.018,3.451,0.101,-0.101,533.8,23,-23,2.19,0.68,-0.22,598,30.3,27.31,-8.93,26.6,6036,162,-198,4.491,0.052,-0.208,0.949,0.292,-0.097,301.54297,44.60561,14.385
"1761","FALSE POSITIVE",78.7327023,0.0006488,-0.0006488,168.72926,0.00716,-0.00716,0.956,0.002,-0.731,5.041,0.268,-0.268,495.8,30.1,-30.1,7.76,1.41,-2.61,761,79.13,43.47,-48.56,19.1,6715,179,-219,3.754,0.292,-0.097,2.763,0.5,-0.928,297.5582,40.541309,13.003
"1763","CONFIRMED",42.3375799,0.0004059,-0.0004059,158.25187,0.00815,-0.00815,0.947,0,-0.655,4.924,0.157,-0.157,354.8,22.6,-22.6,1.45,0.07,-0.08,311,2.21,0.43,-0.39,18.1,4132,83,-91,4.682,0.025,-0.022,0.581,0.03,-0.03,295.28854,49.379791,14.275
"1764","CONFIRMED",23.3593589,0.0001278,-0.0001278,144.01826,0.00451,-0.00451,0.94,0.012,-0.651,5.389,0.187,-0.187,570.1,24.5,-24.5,2.98,0.99,-0.33,684,51.68,50.36,-16.41,25.9,6244,169,-225,4.46,0.054,-0.216,1.009,0.335,-0.112,292.46429,45.968288,15.347
"1769","CONFIRMED",10.86062378,3.956e-05,-3.956e-05,136.65957,0.00301,-0.00301,0.261,0.188,-0.261,2.2874,0.0856,-0.0856,189.6,10.6,-10.6,2.09,0.59,-0.59,1108,356.24,294.78,-195.5,20.7,6455,175,-214,4.125,0.252,-0.168,1.496,0.421,-0.421,291.54941,44.52729,13.957
"1771","CONFIRMED",1.834277283,7.851e-06,-7.851e-06,132.85895,0.00379,-0.00379,0.381,0.088,-0.381,1.7499,0.086,-0.086,286.5,14.3,-14.3,1.64,0.45,-0.2,1459,1068.36,901.58,-345.13,24.8,5751,173,-190,4.458,0.081,-0.189,0.958,0.268,-0.115,285.96802,48.67905,15.198
"1777","FALSE POSITIVE",5.186737262,7.369e-06,-7.369e-06,134.99509,0.0012,-0.0012,0.825,0.038,-0.568,0.8023,0.0521,-0.0521,712.7,39.9,-39.9,2.4,0.38,-0.17,860,129.37,65.71,-30.84,25.7,5230,158,-158,4.594,0.032,-0.104,0.777,0.122,-0.056,288.66449,51.498421,14.988
"1778","FALSE POSITIVE",1.151244686,1.522e-06,-1.522e-06,132.64551,0.00115,-0.00115,1.387,7.621,-0.119,1.272,0.0679,-0.0679,269.6,10.7,-10.7,40.32,12.6,-4.21,1756,2253.09,2065.12,-671.41,32.6,6086,164,-200,4.511,0.04,-0.216,0.921,0.288,-0.096,296.06625,42.768219,14.519
"1781","CONFIRMED",2.42088277,1.327e-05,-1.327e-05,133.57809,0.00499,-0.00499,0.227,0.237,-0.227,2.812,0.14,-0.14,223.3,12.7,-12.7,2.27,0.35,-0.53,1616,1615.12,670.11,-712.71,20.7,5583,83,-75,4.077,0.21,-0.09,1.53,0.237,-0.355,293.20377,43.057011,15.61
"1783","CONFIRMED",16.85592593,6.43e-05,-6.43e-05,138.26808,0.00351,-0.00351,0.038,0.41,-0.038,2.309,0.117,-0.117,871.5,51.9,-51.9,1.7,0.08,-0.1,408,6.52,1.18,-1.2,19.5,3967,79,-79,4.674,0.032,-0.017,0.587,0.026,-0.035,291.7262,37.5289,15.661
"1785","CONFIRMED",69.8956789,0.0005243,-0.0005243,160.66805,0.00613,-0.00613,0.872,0.064,-0.584,5.276,0.182,-0.182,548.4,28.7,-28.7,3.04,0.62,-0.51,442,8.99,4.87,-3.09,21.9,5390,80,-72,4.303,0.17,-0.155,1.104,0.227,-0.185,296.69727,46.371712,14.552
